,index,Title,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6,Keyword 7,Keyword 8,Keyword 9,Keyword 10,Keyword 11,Keyword 12,Date,keyword_melt
0,2,Meta-Analyses of Financial Performance and Equity: Fusion or Confusion?,EQUITY,ORGANIZATIONAL sociology,PERFORMANCE,META-analysis,PSYCHOMETRICS,ORGANIZATIONAL research,FINANCIAL performance,AGENCY theory,ORGANIZATIONAL effectiveness,ORGANIZATIONAL behavior,CORPORATE governance,,3-Feb, EQUITY ORGANIZATIONAL sociology PERFORMANCE META-analysis PSYCHOMETRICS ORGANIZATIONAL research FINANCIAL performance AGENCY theory ORGANIZATIONAL effectiveness ORGANIZATIONAL behavior CORPORATE governance nan
1,3,"Home Country Environments, Corporate Diversification Strategies, and Firm Performance",DIVERSIFICATION in industry,BUSINESS planning,PERFORMANCE standards,EMPLOYEES -- Rating of,CORPORATE culture,STRATEGIC planning,ORGANIZATIONAL effectiveness,MANAGEMENT science,MANAGEMENT research,PRODUCT management,,,3-Feb, DIVERSIFICATION in industry BUSINESS planning PERFORMANCE standards EMPLOYEES -- Rating of CORPORATE culture STRATEGIC planning ORGANIZATIONAL effectiveness MANAGEMENT science MANAGEMENT research PRODUCT management nan nan
2,4,Safeguarding Investments in Asymmetric Interorganizational Relationships: Theory and Evidence,INTERORGANIZATIONAL relations,INTERGROUP relations,BUSINESS communication,INVESTMENTS,SUPPLY chains,KNOWLEDGE management,INTERORGANIZATIONAL networks,CORPORATE governance,GROUP decision making,INTELLECTUAL capital,,,3-Feb, INTERORGANIZATIONAL relations INTERGROUP relations BUSINESS communication INVESTMENTS SUPPLY chains KNOWLEDGE management INTERORGANIZATIONAL networks CORPORATE governance GROUP decision making INTELLECTUAL capital nan nan
3,5,Managerialist and Human Capital Explanations for Key Executive Pay Premiums: A Contingency Perspective,EXECUTIVE compensation,WAGES,HUMAN capital,LABOR economics,PERSONNEL management,MANAGEMENT science,CONTINGENCY theory (Management),COMPENSATION management,EXECUTIVE ability (Management),CORPORATE governance,,,3-Feb, EXECUTIVE compensation WAGES HUMAN capital LABOR economics PERSONNEL management MANAGEMENT science CONTINGENCY theory (Management) COMPENSATION management EXECUTIVE ability (Management) CORPORATE governance nan nan
4,6,"Bidding Wars Over R&D-Intensive Firms: Knowledge, Opportunism, and the Market for Corporate Control",KNOWLEDGE management,INFORMATION resources management,MANAGEMENT information systems,BREAK-even analysis,DATA mining,MANAGEMENT science,RESEARCH & development,RESEARCH & development contracts,CORPORATE governance,DECISION making,ORGANIZATIONAL behavior,TRANSACTION costs,3-Feb, KNOWLEDGE management INFORMATION resources management MANAGEMENT information systems BREAK-even analysis DATA mining MANAGEMENT science RESEARCH & development RESEARCH & development contracts CORPORATE governance DECISION making ORGANIZATIONAL behavior TRANSACTION costs
5,7,When EEThe Show Must Go OnEE: Surface Acting and Deep Acting as Determinants of Emotional Exhaustion and Peer-Rated Service;Delivery,EMOTIONS (Psychology),INTERPERSONAL relations,STRESS (Psychology),SOCIAL interaction,SOCIAL psychology,EMPLOYEES -- Attitudes,CUSTOMER services,CUSTOMER satisfaction,JOB stress,PEER review (Professional performance),,,3-Feb, EMOTIONS (Psychology) INTERPERSONAL relations STRESS (Psychology) SOCIAL interaction SOCIAL psychology EMPLOYEES -- Attitudes CUSTOMER services CUSTOMER satisfaction JOB stress PEER review (Professional performance) nan nan
6,8,Relationships among Supervisors' and Subordinates' Procedural Justice Perceptions and Organizational Citizenship Behaviors,SUPERVISORS,JUSTICE,CONFLICT management,MEDIATION,EMPLOYEES,INDUSTRIAL relations,ORGANIZATIONAL behavior,UNITED States -- National Guard,ORGANIZATIONAL effectiveness,DECISION making,RESOURCE allocation,,3-Feb, SUPERVISORS JUSTICE CONFLICT management MEDIATION EMPLOYEES INDUSTRIAL relations ORGANIZATIONAL behavior UNITED States -- National Guard ORGANIZATIONAL effectiveness DECISION making RESOURCE allocation nan
7,9,Punctuated Equilibrium and Linear Progression: Toward a New Understanding of Group Development,INDUSTRIAL relations,MANAGEMENT science,DECISION theory,ORGANIZATIONAL sociology,PUNCTUATED equilibrium (Evolution),ORGANIZATIONAL change,ORGANIZATIONAL behavior,ORGANIZATIONAL structure,BUSINESS models,ORGANIZATIONAL research,,,3-Feb, INDUSTRIAL relations MANAGEMENT science DECISION theory ORGANIZATIONAL sociology PUNCTUATED equilibrium (Evolution) ORGANIZATIONAL change ORGANIZATIONAL behavior ORGANIZATIONAL structure BUSINESS models ORGANIZATIONAL research nan nan
8,13,The Relationship between Overconfidence and the Introduction of Risky Products: Evidence from a Field Study,DECISION making,EXECUTIVES,INDUSTRIAL management,NEW products,HIGH technology industries,,,,,,,,3-Apr, DECISION making EXECUTIVES INDUSTRIAL management NEW products HIGH technology industries nan nan nan nan nan nan nan
9,14,"Governance Through Ownership: Centuries of Practice, Decades of Research",CORPORATE governance,INDUSTRIAL management,STOCKHOLDERS wealth,INSTITUTIONAL investors,WAGES,NEW products,ORGANIZATIONAL structure,ORGANIZATIONAL behavior,DECENTRALIZATION in management,ORGANIZATIONAL effectiveness,,,3-Apr, CORPORATE governance INDUSTRIAL management STOCKHOLDERS wealth INSTITUTIONAL investors WAGES NEW products ORGANIZATIONAL structure ORGANIZATIONAL behavior DECENTRALIZATION in management ORGANIZATIONAL effectiveness nan nan
